mať	mít,mýt,žiť
zmiznúť	změnit,přiznat,zaznít,zmizet,zmínit,zmírnit,zmocnit
hľadať	hledat,vadit,hradit,hodit,hledět,padat,řadit,hlídat,spadat,radit,vsadit,zadat,usadit,upadat,hádat,sladit,zradit,ladit,hyzdit,vado,vnadit,vracať,ubivať,davať,dostať,nadat,nadát
sadnúť	jednat,splnit,sehnat,sahat,shánět,sjednat,skonat,stonat,směnit,slunit
písať	muset,vést,psát,podat,růst,přát,nést,ptát,číst,plnit,nosit,popsat,padat,viset,jíst,prosit,pršet,pít,plést,pálit,prát,upsat,pískat,pojit,děsit,počít,plout,tasit,sníst,příst,pykat,přít,mísit,smísit,zasít,péci,Wish,pást,hasit,esse,jásat,polít,nasát,vracať,žiť,odsát,pídit,pobýt,ist,ujíst,ubivať,davať,popiť,pět,dostať,dusit,kiss,use,pojít
pripraviť	připravit,přepravit,poopravit
patriť	smatriť
pochopiť	pochopit
vytvoriť	vytvořit,vytvářet
vyzerať	vyhrát,vybrat,vyzvat,vybírat,vyzývat,vyznat,vyznít,vydírat,vyprat,vyzrát,vymírat,vracať,vysrat,vyzářit
trvať	trvat,davať
ležať	ležet
zastať	zastat,dostať
priniesť	pracovat,činit,prohlásit,prodávat,prodat,přinést,podílet,učinit,projevit,probíhat,přijet,prosadit,provádět,prohrát,poznat,padnout,přinášet,provést,projít,prokázat,plnit,podnikat,zmizet,proměnit,plynout,plánovat,panovat,přenášet,provázet,prožít,prožívat,přenést,pravit,prospět,pominout,viset,prosit,promítat,přinutit,poznávat,projet,prověřit,mizet,pramenit,probudit,prodělat,podržet,pršet,pronikat,minout,vinit,prorazit,pohnout,pronést,křičet,probírat,propadat,prolínat,podnítit,pyšnit,probrat,provinit,prchat,prolomit,čišet,proudit,praskat,porážet,protékat,proslout,pomíjet,linout,prodrat,propojit,pohnat,pronášet,pinkat,propást,prahnout,proletět,prohodit,ponížit,popíjet,přejet,osiřet,praštit,provézt,pomnožit,promrhat,pohořet,prodírat,pročítat,ponořit,řinout,promnout,proprat,prolnout,probíjet,prorážet,pričinit,ruinovat,prokousat,protínat,prosekat,prominout,provalit,profrčet,procedit,ubivať,popiť,prohýbat,protnout,prorývat,potácet,poničit,prýštit,polučiť,klinken,cliquer,podjet,propít,činívat,protáčet,fičet,probít,proclít,protrpět,puknout,propékat,pobízet,believe,proměřit,prchnout,planout,špinit,promísit,procitat
všimnúť	všimnout
viesť	vědět,vést,vidět,vydat,věřit,vyjít,vzít,jet,volit,klesat,viz,vzdát,vadit,volat,vítat,vejít,vážit,viset,vázat,vyjet,váhat,vézt,vozit,vypsat,vnést,vinit,ujet,vařit,vonět,velet,sjet,zet,vězet,vstát,vát,vrhat,valit,vléci,vypít,vjet,vlát,vrtat,vžít,vrýt,vřít,vdát,vlézt,vybýt,vepsat,need,Were,vodit,vado,keep,vídat,věšet,vrzat,vrtět,jedú,vlnit,vyrýt,Lean,vytesat,vracať,žiť,vršit,vylít,Feels,ubivať,davať,popiť,Check,check,sein
navrhnúť	navrhnout,navrhovat,navrátit,navracet
ďakovať	opakovat,děkovat,atakovat,očkovat,šokovat,rokovat,ubivať,davať,rukovat
otočiť	otočit
prestať	přestat,pustit,trestat,pomstít,povstat,přistát,praštit,přestát,postát,prýštit,dostať
dokázať	dokázat
držať	držet,davať
objaviť	objevit,obávat,obnovit,oslavit,objasnit,opravit,obývat,objímat,obšívat,objet,obouvat
nechať	nechat
zabudnúť	zabránit,zabudovat
vysvetliť	vysvětlit
zistiť	dostat,zůstat,zjistit,nastat,zeptat,pustit,ujistit,obstát,hostit,čistit,přistát,ústit,dostát,vstát,očistit,zmítat,jistit,ustat,zaostat,zastat,zhostit,mstít,zřítit,postát,popiť,šustit,dostať,zdrtit
počúvať	počítat,podávat,podívat,počínat,potrvat,pozvat,počkat,pobývat,požívat,polevit,pobavit,počít,pokývat,počíhat,poštvat,ubivať,davať,popiť,polučiť,porvat,počůrat
začuť	začít
spať	spát,spět
hrať	hrát
potrebovať	potřebovat
vybrať	vybrat
položiť	položit,polučiť
čítať	čítat
snažiť	snažit
zomrieť	začít,získat,patřit,platit,znamenat,zůstat,snažit,zvýšit,činit,myslit,tvrdit,vrátit,skončit,zdát,stačit,začínat,znát,změnit,sdělit,tvořit,mluvit,zabývat,věřit,zjistit,pomoci,snížit,umožnit,řešit,zahájit,smět,měnit,koupit,odmítat,učinit,bránit,hrozit,cítit,umět,řídit,sloužit,ztratit,pomáhat,zajímat,splnit,záležet,chodit,soudit,končit,založit,lišit,znít,jezdit,zrušit,zbývat,zabránit,dařit,zemřít,zavést,učit,volit,zlepšit,zvolit,zeptat,ukončit,ztrácet,plnit,omezit,záviset,líbit,zaznít,určit,naučit,uvolnit,dělit,zbavit,zmizet,proměnit,vadit,hlásit,tušit,těšit,zbýt,hradit,hodit,jevit,zkoumat,ocenit,zařadit,ujmout,mínit,divit,zaměřit,zadržet,slíbit,zažít,šetřit,blížit,pustit,trápit,sídlit,zabít,nutit,vyměnit,uložit,udělit,bavit,spojit,zaslat,zakázat,zapadat,zmínit,mířit,nosit,zkusit,složit,trefit,dlužit,rušit,měřit,pravit,hájit,zaručit,zřídit,čelit,vložit,tajit,zapojit,zavádět,tlačit,umírat,vážit,zahrát,zranit,mýlit,zklamat,zničit,ověřit,zvážit,půjčit,šířit,smát,poučit,zkoušet,zlomit,léčit,řadit,zpívat,zrodit,zajít,prosit,promítat,zavázat,cenit,srazit,radit,usoudit,ručit,zkrátit,zavolat,ničit,trávit,otočit,zařídit,zapsat,živit,zdržet,tvářit,domáhat,smířit,urazit,množit,vsadit,zahrnout,zhoršit,zasadit,zdolat,hostit,budit,škodit,zmírnit,toužit,vymáhat,zavinit,brzdit,svěřit,útočit,zvrátit,zmocnit,zesílit,zvát,vozit,rodit,zpomalit,zamezit,vděčit,zabrat,zasílat,chytit,zavřít,skočit,zneužít,závodit,uvážit,vinit,udeřit,zlobit,zabíjet,uvalit,zdražit,zvětšit,zmenšit,zadat,usadit,zanikat,svítit,usmívat,zdědit,slavit,chopit,zasedat,zamířit,uživit,vařit,zabírat,sílit,vymykat,zpevnit,těžit,líčit,pálit,zapřít,zvedat,zabavit,lovit,točit,zavírat,završit,zaplnit,namítat,zajet,kouřit,utopit,uvěřit,zakrýt,sloučit,vymezit,závidět,zahnat,zavítat,zažívat,zarazit,změřit,pyšnit,loučit,pomstít,vymizet,vymazat,oživit,tlumit,lámat,zpozdit,zúžit,zalíbit,utržit,smést,zahrávat,zápasit,usmrtit,kroutit,zvykat,zlákat,hromadit,zříci,zatížit,topit,namáhat,tančit,čistit,sladit,umřít,proudit,oženit,zuřit,okusit,zříkat,zakročit,pojit,zkazit,zdobit,kazit,ústit,vymanit,školit,zmýlit,spasit,zapálit,bouřit,zasypat,zlevnit,zvládat,strčit,krmit,cvičit,uhasit,modlit,stavit,spálit,pomíjet,zakrývat,valit,zradit,nudit,děsit,opomíjet,upomínat,vnutit,zjednat,zadávat,zaváhat,lepit,zasmát,ulevit,vymřít,naměřit,jmout,hemžit,zavdat,vymýtit,lemovat,tratit,válčit,hýřit,zahubit,zbít,křížit,mlátit,zdařit,tasit,zaměnit,zmítat,uhájit,krátit,zajmout,řítit,zajásat,zbourat,zamykat,usmát,ztlumit,zatajit,ladit,udivit,jistit,zoufat,tísnit,brousit,řádit,zmoci,zírat,zahálet,zakopat,balit,zářit,oběsit,zahodit,zrát,honit,zanášet,vsítit,ucítit,plavit,svolit,bloudit,odměnit,vymoci,zastřít,třídit,loupit,zažádat,zmařit,razit,plodit,umocnit,zdráhat,úročit,hloubit,sbalit,mísit,ztížit,cedit,smísit,zobrazit,členit,dražit,unavit,zarážet,zatratit,lepšit,zaostat,fandit,šidit,zahřát,zamést,zabalit,ředit,slevit,světit,zatopit,sněžit,značit,zapnout,začíst,zaplést,vhodit,oholit,odmlčet,zhojit,mučit,zalézt,různit,zatáčet,brojit,bušit,zastat,zdravit,žárlit,udusit,dojit,zabrzdit,chýlit,zasít,zatočit,ošidit,rámovat,umlčet,zbortit,zbořit,zazářit,zapotit,kalit,smazat,zahrozit,mařit,zalít,zavánět,zmrazit,štěpit,zhostit,zbrzdit,zmást,vřítit,vyučit,krčit,tyčit,zamlčet,zúročit,směnit,zanést,zplodit,ženit,zjevit,vodit,vymetat,zametat,hyzdit,oloupit,zcizit,mumlat,hojit,vymámit,vyměřit,hasit,zmlátit,zavadit,kotvit,zelenat,usmířit,tropit,zalepit,hroutit,zužovat,klonit,odmrštit,uvolit,súdit,promrhat,vymírat,započít,zavát,větvit,bořit,snoubit,opozdit,drobit,ostřit,žhavit,vymínit,uhodit,usoužit,zvonit,zavelet,umýt,zaspat,vnadit,hřmět,drtit,zřít,zahradit,promnout,osmělit,ukojit,zamotat,vymstít,zepsout,ztenčit,vlnit,svrbit,ztvrdit,zvědět,zalomit,dědit,semnout,věštit,zavlát,lenit,shodit,zapět,zatřást,zkřivit,orosit,vcítit,pomočit,zjizvit,jímat,zřítit,omdlít,kommen,ergein,vracať,zavrtět,opařit,zamnout,zavézt,ztlouci,naháňať,obořit,domoci,zhlížet,vršit,pídit,omývat,básnit,Said,zařvat,osolit,slunit,zacelit,chrlit,horlit,nítit,zkrotit,vymočit,rmoutit,holit,zabrnkat,ranit,zračit,zahnout,smýkat,Comes,škrtit,vymývat,barvit,zapudit,zavalit,zavěsit,domazat,ježit,smatriť,ubivať,davať,popiť,hřešit,klátit,oslnit,zkopat,vomotat,trmácet,zotvírat,šulit,lapit,mořit,zobecnit,dávit,zatrnout,osočit,utajit,smekat,ozářit,zatýkat,stmelit,zabolet,zostřit,tížit,mazlit,namířit,mhouřit,změkčit,ulovit,šustit,spolčit,družit,ověsit,spořit,dostať,polučiť,zvučet,bortit,zarývat,kroužit,šumět,opálit,smrštit,zvracet,odmávat,namočit,zašívat,zvolat,zamávat,vymrštit,mrštit,dusit,zadout,zahýbat,zout,zadrnčet,sušit,zdrtit,umrtvit,drolit,tmelit,ztišit,orazit,plašit,plazit,uzlit,zapínat,zahojit,zvěčnit,umínit,zhřešit,zažíhat,brodit,zazlít,zmnožit,chybit,vtělit,zalézat,sein,vloudit,believe,zamítat,zurčet,zřejmý,vtípit,zimovat,osušit,lomit,klíčit,spářit,proměřit,slepit,příčit,štířit,špinit,sytit,promísit
pokračovať	pokračovat
odpovedať	odpovídat,odpovědět
chýbať	chtít,chybět,chápat,chodit,chovat,vyhýbat,chytat,chytit,hýbat,chopit,chýlit,chlubit,chvět,vracať,change,naháňať,chrlit,ubivať,davať,check,dostať,zahýbat,ohýbat,chybit
prikývnuť	překonat,proměnit,projednat,pramenit,porovnat,přiklánět,prolínat,přirovnat,provinit,přiklonit,promarnit,promýšlet,připevnit,proklínat,pokývat,pričinit,přikývnout,pokývnout,protínat,poklonit,prohýbat,prožvanit,prorývat,projasnit
stačiť	stačit
zdať	zdát
vstať	vstát,dostať
